"ADDRESSID","PATID","ADDRESS_STREET","ADDRESS_DETAIL","ADDRESS_CITY","ADDRESS_STATE","ADDRESS_ZIP5","ADDRESS_TYPE","ADDRESS_PREFERRED","ADDRESS_PERIOD_END","ADDRESS_PERIOD_START","ADDRESS_USE","ADDRESS_ZIP9","RAW_ADDRESS_TEXT"
"1","00rwUhi2QhixO9RFEEH7mO","95826 Young Pine Apt. 945","","Zimmermanburgh","MD","24265","PH","UN","","","HO","",""
"2","0cFcuUGIQcfRdgZu1Bsahn","68054 Rios Walks Apt. 689","","Jacksonmouth","MD","81249","PH","UN","","","HO","",""
"3","0DAJR5wJPWx11yTeRhNZet","82537 Paul Port Suite 097","","Moralesbury","MD","41710","PH","UN","","","HO","",""
"4","0deGOOlVRKt2AVRRZ2LNuN","39014 Martin Lane","","South Christinaberg","MD","97180","PH","UN","","","HO","",""
"5","0EwRupOSRAUmFylsMYYaw2","9201 Kim Route Suite 741","","Ellisbury","MD","69885","PH","UN","","","HO","",""
"6","0GHZgwOyQLcJCxhnPyYln5","88945 Jones Station Apt. 057","","Philliphaven","MD","06571","PH","UN","","","HO","",""
"7","0JHMFnPkQLmRxn1MD9rVGD","248 Reyes Street Apt. 928","","Port Hannah","MD","21426","PH","UN","","","HO","",""
"8","0lQuSbD1OmQ4m5U5kRzJn5","19688 Cervantes River","","Lake Jeffery","MD","85755","PH","UN","","","HO","",""
"9","0OweuKEXPBfV0ZvCWcC2h2","96845 Renee Mill","","Penningtonport","MD","68196","PH","UN","","","HO","",""
"10","0QCMH1DTQ4t4eSNIyAmcId","557 Amy Neck","","Christianport","MD","65259","PH","UN","","","HO","",""
"11","0rJ7kvizOs1cTjhafkwuf6","7327 Sharp Loaf","","Shawview","MD","94353","PH","UN","","","HO","",""
"12","0TGCw2AASGNVSGsoOfeOnb","0042 Janet Island Apt. 772","","Lisaview","MD","53170","PH","UN","","","HO","",""
"13","0YLvmJGFOvYad0mLAQllqk","4067 Turner Harbor","","Lake Amberburgh","MD","19537","PH","UN","","","HO","",""
"14","0ZceoZfcReJ3YZlMV1rvI7","6258 Debra Highway","","South Jennifer","MD","80124","PH","UN","","","HO","",""
"15","10EmtLslSEURMiF9TPS5Mk","29119 Ashley Ports","","Lake Sarah","MD","67393","PH","UN","","","HO","",""
"16","111vZSIuOiJtNHhbOXNhHf","8037 Pacheco Manor","","Whitneyland","MD","85495","PH","UN","","","HO","",""
"17","15gmQwtsPaCQHVzenzBtNT","498 Kevin Keys","","Morganhaven","MD","41546","PH","UN","","","HO","",""
"18","15O5KFuJPYJnw1AoY4lf0B","83426 Nguyen Inlet","","Lake Ericton","MD","78929","PH","UN","","","HO","",""
"19","1aAvJUh6RrjgoQbQQE1AMz","709 Melissa Plain","","New Richard","MD","36075","PH","UN","","","HO","",""
"20","1BSxvipXQCM2zeyDlvyddg","37012 Dalton Row","","Lucasfurt","MD","77139","PH","UN","","","HO","",""
"21","1czlbyWmRENuctspLjFJaI","30241 Smith Inlet","","Lake James","MD","36836","PH","UN","","","HO","",""
"22","1DoJt6btQ7fEYQOaYZqsqk","447 Lisa Meadows","","Millerfort","MD","99307","PH","UN","","","HO","",""
"23","1ec7lotXQ0fMuVBLmqfRyU","1904 Eric Key Apt. 573","","Velazquezland","MD","43012","PH","UN","","","HO","",""
"24","1edtXjkZRBqSUONPiSYkFy","946 Gregory Turnpike","","Lynnfort","MD","57108","PH","UN","","","HO","",""
"25","1fVKHGl7RdJNQclLxcyxY5","890 Henderson Tunnel Apt. 015","","West Amyhaven","MD","11006","PH","UN","","","HO","",""
"26","1haGfKAnRV1TjZgCgrvSms","2140 Wilson Drive Apt. 707","","New Karen","MD","88449","PH","UN","","","HO","",""
"27","1hmADQOHOrKEjkRbMNzTJq","34424 Tina Pines Apt. 312","","Lake Amy","MD","89078","PH","UN","","","HO","",""
"28","1hOlCTkCP01gnIxt15NXsg","432 Michael Turnpike","","Lake Renee","MD","49233","PH","UN","","","HO","",""
"29","1MdfQZwmP9nB0gROWWZAoK","8987 Singh Avenue Suite 331","","North Natasha","MD","43140","PH","UN","","","HO","",""
"30","1mxuu9YmQWCCKvPoOHySlB","014 Michael Plaza","","Tracytown","MD","82063","PH","UN","","","HO","",""
"31","1nWoU4GIPSCcxJgtwOyZPA","451 Carrillo Expressway Suite 740","","Chavezland","MD","83681","PH","UN","","","HO","",""
"32","1oETsxKRPYp6zacuJTCWIO","17167 Melanie Skyway Suite 332","","Juanton","MD","99467","PH","UN","","","HO","",""
"33","1qs4KPRNQiCYSCEcpcQVHB","15400 Ibarra Mill","","North Patricia","MD","81038","PH","UN","","","HO","",""
"34","1r0lAsEcR31ayki0fJlzE0","4655 Fritz Village","","Rileyburgh","MD","63508","PH","UN","","","HO","",""
"35","1Swo2NYCR4xSKohUiNF8yF","69155 Smith Highway","","Lake Donna","MD","70347","PH","UN","","","HO","",""
"36","1UjdY6MfRO1ZkUnyR3cHil","84689 Elaine Extensions Suite 996","","Newtonville","MD","51673","PH","UN","","","HO","",""
