"ADDRESSID","PATID","ADDRESS_STREET","ADDRESS_DETAIL","ADDRESS_CITY","ADDRESS_STATE","ADDRESS_ZIP5","ADDRESS_TYPE","ADDRESS_PREFERRED","ADDRESS_PERIOD_END","ADDRESS_PERIOD_START","ADDRESS_USE","ADDRESS_ZIP9","RAW_ADDRESS_TEXT"
"1","AP10003","880 Dylan Gardens","","Melanieberg","MD","52138","PH","UN","","","HO","",""
"2","AP10018","554 Gray Dale Apt. 530","","Washingtonchester","MD","40332","PH","UN","","","HO","",""
"3","AP100204","059 Rogers Pine Apt. 557","","West William","MD","96042","PH","UN","","","HO","",""
"4","AP100209","15729 Alvarado Ville","","Myersfurt","MD","08507","PH","UN","","","HO","",""
"5","AP10052","32764 Susan Street","","New Jenniferbury","MD","07420","PH","UN","","","HO","",""
"6","AP100607","5077 Alexandra Locks","","Gilbertland","MD","87970","PH","UN","","","HO","",""
"7","AP100614","10678 Vance Loop Apt. 293","","North Vincentmouth","MD","45764","PH","UN","","","HO","",""
"8","AP100775","80955 Julian Ridges","","Port Donald","MD","11473","PH","UN","","","HO","",""
"9","AP100805","695 Donna Villages","","North Vanessa","MD","19885","PH","UN","","","HO","",""
"10","AP100934","0960 Allen Hill","","Reyesshire","MD","87181","PH","UN","","","HO","",""
"11","AP101068","905 Brown Mews","","South Eugene","MD","63065","PH","UN","","","HO","",""
"12","AP101106","56655 Taylor Unions Suite 906","","Tiffanytown","MD","52708","PH","UN","","","HO","",""
"13","AP101106","9442 Johns Hills","","Barnesberg","MD","24177","PO","UN","","","HO","",""
"14","AP101263","3256 Samuel Light","","Jessicamouth","MD","23613","PH","UN","","","HO","",""
"15","AP10139","8581 Kevin Shoals","","Huynhchester","MD","17538","PH","UN","","","HO","",""
"16","AP10143","93285 Rodgers Valleys Apt. 719","","Clarencestad","MD","81706","PH","UN","","","HO","",""
"17","AP10149","80395 Williams Coves","","Caseyside","MD","68533","PH","UN","","","HO","",""
"18","AP10154","672 Turner Walk Suite 341","","South Lauren","MD","30564","PH","UN","","","HO","",""
"19","AP10162","043 Gutierrez Camp Apt. 057","","Lake Antonioton","MD","13309","PH","UN","","","HO","",""
"20","AP10167","671 Robinson Cliff","","Boydstad","MD","26017","PH","UN","","","HO","",""
"21","AP10174","97567 Stephanie Isle","","New Samantha","MD","76894","PH","UN","","","HO","",""
"22","AP102011","29875 Williams Springs","","Chanhaven","MD","56902","PH","UN","","","HO","",""
"23","AP102049","3741 Todd Parkways","","Port John","MD","49005","PH","UN","","","HO","",""
"24","AP102279","8238 Bean Vista Apt. 006","","North Richard","MD","13652","PH","UN","","","HO","",""
"25","AP102279","8617 Boyd Ranch","","Ryanbury","MD","55059","PO","UN","","","HO","",""
"26","AP10236","2352 Wagner River","","South Aaronburgh","MD","11652","PH","UN","","","HO","",""
"27","AP10241","124 Jackson Hill","","Angelaland","MD","65560","PH","UN","","","HO","",""
"28","AP102439","56597 Cooper Inlet","","Port Andrew","MD","88736","PH","UN","","","HO","",""
"29","AP10248","0333 Teresa Grove","","Lyonsmouth","MD","62132","PH","UN","","","HO","",""
"30","AP10252","00993 Fox Walk","","Oneillside","MD","10321","PH","UN","","","HO","",""
"31","AP102618","09679 Rodriguez Parks Apt. 129","","North Raymondmouth","MD","16923","PH","UN","","","HO","",""
"32","AP10273","4338 Davis Inlet Apt. 255","","Smallmouth","MD","49003","PH","UN","","","HO","",""
"33","AP10277","486 Lopez Spring Apt. 823","","Karamouth","MD","69823","PH","UN","","","HO","",""
"34","AP102828","9657 Lowe Canyon","","South Marcusburgh","MD","48642","PH","UN","","","HO","",""
"35","AP10283","375 Richard Roads","","East David","MD","67221","PH","UN","","","HO","",""
"36","AP10287","982 Harold Path","","West Russellfort","MD","03086","PH","UN","","","HO","",""
"37","AP102877","360 Gary Spur Apt. 513","","New Rebecca","MD","94131","PH","UN","","","HO","",""
"38","AP10290","0890 Smith Mission","","Gloriashire","MD","48725","PH","UN","","","HO","",""
"39","AP102905","2924 Butler Pine","","Jamesport","MD","42865","PH","UN","","","HO","",""
"40","AP103294","2317 Mathew Loaf Apt. 606","","South Kenneth","MD","78933","PH","UN","","","HO","",""
"41","AP10352","571 George Valleys Suite 333","","North Brenda","MD","31851","PH","UN","","","HO","",""
"42","AP10378","9773 Beck Manors","","Richardville","MD","64469","PH","UN","","","HO","",""
"43","AP104210","864 Mary Orchard","","Ivanland","MD","16252","PH","UN","","","HO","",""
"44","AP10433","467 Carrie Fords Apt. 454","","West Victoria","MD","88663","PH","UN","","","HO","",""
"45","AP104455","325 Ruth Summit","","Leehaven","MD","27262","PH","UN","","","HO","",""
"46","AP104531","03800 Betty Junctions","","Davidview","MD","06364","PH","UN","","","HO","",""
"47","AP104539","427 Tiffany Stream Apt. 816","","Fitzgeraldland","MD","33397","PH","UN","","","HO","",""
"48","AP104934","014 Hardy Courts Apt. 223","","Waremouth","MD","21207","PH","UN","","","HO","",""
"49","AP104951","2612 Sherry Street","","Jonathanchester","MD","68908","PH","UN","","","HO","",""
"50","AP10513","008 Russell Gateway","","South Katherine","MD","39151","PH","UN","","","HO","",""
"51","AP105190","02980 Colleen Station","","Taylorberg","MD","78389","PH","UN","","","HO","",""
"52","AP10539","82848 Joshua Station Apt. 337","","Port Anna","MD","87240","PH","UN","","","HO","",""
"53","AP105636","141 Chapman Mall","","Jennifermouth","MD","73957","PH","UN","","","HO","",""
"54","AP106441","2979 Laurie Summit Suite 588","","West Brianside","MD","27107","PH","UN","","","HO","",""
"55","AP107016","365 Ferrell Corner","","Port Steven","MD","48445","PH","UN","","","HO","",""
"56","AP107028","757 Sherman Cape","","Craigshire","MD","63124","PH","UN","","","HO","",""
"57","AP107224","3506 Luke Heights Apt. 974","","Johnnybury","MD","99287","PH","UN","","","HO","",""
"58","AP107341","4898 Brown Row Suite 856","","Gregoryfort","MD","31666","PH","UN","","","HO","",""
"59","AP107462","747 Kristine Garden","","Juliefurt","MD","66674","PH","UN","","","HO","",""
"60","AP107497","60677 Haley Square Suite 571","","Jadebury","MD","82270","PH","UN","","","HO","",""
"61","AP107497","24642 Lopez Fort","","Shawnville","MD","09615","PO","UN","","","HO","",""
"62","AP107504","5894 York Walks","","New Roy","MD","70174","PH","UN","","","HO","",""
"63","AP107511","40731 Clarke Burg Suite 180","","East Javier","MD","30406","PH","UN","","","HO","",""
"64","AP107752","196 Joshua Oval","","Sparksview","MD","66623","PH","UN","","","HO","",""
"65","AP107936","5658 Raymond Stream","","Lake Bruce","MD","14651","PH","UN","","","HO","",""
"66","AP10806","9452 Alicia Summit Apt. 537","","Robertberg","MD","65818","PH","UN","","","HO","",""
"67","AP108656","165 Amanda Square","","Thompsonchester","MD","31297","PH","UN","","","HO","",""
"68","AP108684","36309 Frye Point Apt. 767","","Marksside","MD","73495","PH","UN","","","HO","",""
"69","AP108799","26051 Carolyn Burg","","Seanton","MD","20933","PH","UN","","","HO","",""
"70","AP109005","66111 Russell Center Apt. 366","","Wuburgh","MD","51753","PH","UN","","","HO","",""
"71","AP109029","00362 Barnes View","","Jamesland","MD","60501","PH","UN","","","HO","",""
"72","AP109256","425 Jonathan Field","","Dayhaven","MD","24638","PH","UN","","","HO","",""
"73","AP109578","74192 Martin Square","","Port Robert","MD","34604","PH","UN","","","HO","",""
"74","AP110990","422 Alyssa Stream","","Port Jennifer","MD","30951","PH","UN","","","HO","",""
"75","AP110999","5208 Mcdowell Fields","","Carlside","MD","76052","PH","UN","","","HO","",""
"76","AP111351","66760 Howard Estates","","Port Mikeport","MD","64785","PH","UN","","","HO","",""
"77","AP111358","437 Mccarty Viaduct Suite 517","","West Gabrielshire","MD","68939","PH","UN","","","HO","",""
"78","AP111577","280 Laura Curve Apt. 169","","West Aliciamouth","MD","13569","PH","UN","","","HO","",""
"79","AP111585","96177 Blake Stravenue","","Johnhaven","MD","34995","PH","UN","","","HO","",""
"80","AP111702","93515 Giles River","","Braunview","MD","89799","PH","UN","","","HO","",""
"81","AP111737","832 Marissa Place Suite 656","","Lake Matthewberg","MD","38629","PH","UN","","","HO","",""
"82","AP112080","578 Weber Islands","","Hannahmouth","MD","52575","PH","UN","","","HO","",""
"83","AP112452","197 Michael Street Suite 399","","North Jose","MD","23027","PH","UN","","","HO","",""
"84","AP112493","1830 Boyer Summit Apt. 111","","Dyerfort","MD","03274","PH","UN","","","HO","",""
"85","AP11329","9534 Peters Shore","","Stevenshaven","MD","67754","PH","UN","","","HO","",""
"86","AP113808","653 Young Neck Apt. 781","","Scottton","MD","18197","PH","UN","","","HO","",""
"87","AP114139","5458 Thomas Street","","New Victoria","MD","20875","PH","UN","","","HO","",""
"88","AP114688","023 Payne Well","","Brownhaven","MD","84098","PH","UN","","","HO","",""
"89","AP11486","0685 Oliver Roads","","North Renee","MD","00719","PH","UN","","","HO","",""
"90","AP114865","00629 Olivia Drive Suite 518","","Jamesmouth","MD","66328","PH","UN","","","HO","",""
"91","AP11506","32929 Russell Wells Apt. 378","","West Kimberlyfort","MD","18637","PH","UN","","","HO","",""
"92","AP115181","834 Riggs Walk","","West Kelsey","MD","93412","PH","UN","","","HO","",""
"93","AP115296","1152 Brenda Club Apt. 650","","Hartmanburgh","MD","38769","PH","UN","","","HO","",""
"94","AP115329","243 Virginia Unions","","Anthonytown","MD","09450","PH","UN","","","HO","",""
"95","AP115567","315 Brian Heights Apt. 871","","Richardsonland","MD","61877","PH","UN","","","HO","",""
"96","AP11568","1395 Olivia Plaza","","Kevinfort","MD","20186","PH","UN","","","HO","",""
"97","AP11580","255 Salinas Wells","","Floresport","MD","82882","PH","UN","","","HO","",""
